user_id,cluster,entropy
257,1,0.3027344232643354
789,1,0.30463609734923813
150,1,0.3111291548118492
628,1,0.3153962874226617
75,1,0.3202439124894461
81,1,0.32265968510520027
895,1,0.3250829733914482
475,1,0.3250829733914482
828,1,0.32777567610021285
879,1,0.3325942143118925
768,1,0.34840580122776915
46,1,0.34883209584303193
68,1,0.35459882755264893
461,1,0.3557128597468939
509,1,0.3625010217396757
549,1,0.3669249912727096
894,1,0.37207836005444644
99,1,0.39043950319689363
893,1,0.39352145706060226
675,1,0.39537219111499866
110,1,0.3956491027490423
699,1,0.4070332397460261
449,1,0.4100556878380497
231,1,0.410116318288409
761,1,0.41062862837610226
84,1,0.41575887289617347
779,1,0.417476338302775
861,1,0.41763147583118515
204,1,0.4245948513234667
852,1,0.4265104867145486
287,1,0.4296450382988046
919,1,0.43806996843074586
904,1,0.4399782222652544
851,1,0.44596770601500235
224,1,0.45297462024724344
517,1,0.45494375346817745
4,1,0.4563344322932884
630,1,0.46278712745679673
314,1,0.4689760666003123
612,1,0.4709001279172663
619,1,0.4812911196124555
909,1,0.4895518936229288
332,1,0.4954573895859016
860,1,0.501284947824134
865,1,0.5025744706222252
459,1,0.5031465197225341
69,1,0.5062043412849001
57,1,0.5062496927910254
925,1,0.5067352576114266
663,1,0.5080229329315655
680,1,0.5144128335580126
274,1,0.5146567707821681
702,1,0.5225134163226269
877,1,0.5263668784458121
445,1,0.5303966272405902
278,1,0.5305096302300272
880,1,0.5319503059415962
145,1,0.5348698293705879
52,1,0.5363994436897042
83,1,0.5384814771297863
336,1,0.5450337364480633
136,1,0.5458692524645854
180,1,0.5488743844849944
548,1,0.5495306014583485
683,1,0.5496795993764678
217,1,0.5500776443367934
137,1,0.5519400405282622
221,1,0.55886895877073
256,1,0.5595953388286996
794,1,0.5627942878508411
910,1,0.5632423339368433
142,1,0.56930867810557
907,1,0.5695317049858506
546,1,0.5700090252687342
557,1,0.5714083975115882
89,1,0.5811772388053069
163,1,0.5825842452160127
345,1,0.5868755828479992
563,1,0.5905146653114488
196,1,0.5931882307431043
55,1,0.5940241655824705
424,1,0.5979251680126938
831,1,0.5999734492250516
822,1,0.6060252027357298
270,1,0.6106736159643948
29,1,0.6134818943006427
119,1,0.6171761298439605
771,1,0.6185258887915653
576,1,0.61912858631753
291,1,0.6221499993175773
255,1,0.625161807448212
555,1,0.6325366131843582
37,1,0.6330395116644678
193,1,0.635778804636375
914,1,0.6428579130907905
374,1,0.6444689741745236
654,1,0.645060116166402
466,1,0.6453742425318371
30,1,0.6479288116140305
721,1,0.650270777887495
422,1,0.6506819585898257
53,1,0.657598949867696
130,1,0.6589162541540082
455,1,0.6589676669211841
320,1,0.6593105557218597
245,1,0.6631794532105497
513,1,0.6631794532105497
117,1,0.6640485134875176
21,1,0.6700114656362941
393,1,0.6722913859807009
874,1,0.6723962615488854
554,1,0.6733854071226477
323,1,0.6765851847820092
676,1,0.6794554111052853
682,1,0.6795994255534699
692,1,0.6804536337918952
174,1,0.6835383836473913
116,1,0.6875740252996512
640,1,0.6917022799536722
715,1,0.703954461185531
464,1,0.7047328304766876
512,1,0.7091152575824363
621,1,0.709967507790312
487,1,0.712950146122508
696,1,0.7190717543487269
551,1,0.7221287084564667
764,1,0.7260945659436957
92,1,0.7274018927962849
871,1,0.7290578676189831
243,1,0.7299081708855372
888,1,0.7305880613711224
49,1,0.7323143815817827
182,1,0.7363093244249479
127,1,0.7400116657311008
109,1,0.7412783581145185
395,1,0.7438378562553847
927,1,0.7452590480758245
829,1,0.7454090682140051
592,1,0.7472967339249761
671,1,0.7482958616210114
442,1,0.7488470658338372
586,1,0.7509016000741006
222,1,0.7536929298248082
500,1,0.7562055339855924
491,1,0.7579048419744567
930,1,0.7582648132853984
249,1,0.7608857165827779
790,1,0.7619672536237561
251,1,0.7647517908432452
276,1,0.7659645094536376
369,1,0.7749927584562633
228,1,0.7751292747786217
106,1,0.7761075480534071
585,1,0.7779315664011083
244,1,0.7821746210302746
655,1,0.7909584408540862
757,1,0.7920834403833704
76,1,0.7933098568401258
216,1,0.7967424724327565
43,1,0.7982651441192132
368,1,0.8005407842515027
453,1,0.8068427754328259
177,1,0.8076405534453444
347,1,0.8105650331619317
197,1,0.8134980431878347
378,1,0.8136883170947116
433,1,0.8140228720038248
162,1,0.815066342119382
121,1,0.8159341879159371
577,1,0.8184297225361477
709,1,0.8203448940314817
195,1,0.8212316347124549
447,1,0.821758330172842
