user_id,item_id,predicted_rating,decade
196,216,1.7967176487129572,1980.0
196,204,1.5146585804205055,1980.0
196,451,1.3379481809282254,1970.0
196,732,1.2246234161606326,1990.0
196,209,1.2146646003111812,1980.0
196,14,1.2067565218220568,1990.0
196,258,1.1998696883183941,1990.0
196,88,1.1991486181637792,1990.0
196,367,1.1678429348388735,1990.0
196,709,1.1562742497185583,1990.0
196,275,1.1469938682418785,1990.0
196,283,1.1458097978025599,1990.0
196,255,1.1290219920742341,1990.0
196,303,1.128391968676156,1990.0
196,211,1.1065516038736938,1970.0
196,274,1.049200602938073,1990.0
196,319,1.036540158960195,1990.0
196,210,1.01723810635098,1980.0
196,1028,1.0079853656504343,1990.0
196,137,0.9993690370002554,1990.0
196,208,0.9909404207080652,1970.0
196,514,0.9485909935412274,1970.0
196,508,0.9388980158897754,1990.0
196,100,0.9201154580271675,1990.0
196,433,0.9160074942548073,1980.0
186,471,2.5114363868638323,1990.0
186,245,2.157389673221574,1990.0
186,597,1.9754666433915327,1990.0
186,54,1.9615979475524046,1990.0
186,328,1.9307231479357014,1990.0
186,282,1.885184194840083,1990.0
186,879,1.8211245852463653,1990.0
186,307,1.7676257193732314,1990.0
186,223,1.6487740873200765,1990.0
186,234,1.6088021674662374,1970.0
186,82,1.5787143842500382,1990.0
186,125,1.57688130052555,1990.0
186,97,1.5699309361175993,1990.0
186,289,1.568388052953955,1990.0
186,273,1.5559188736197838,1990.0
186,5,1.5330067433900774,1990.0
186,176,1.5039706279873735,1980.0
186,11,1.4627653863715413,1990.0
186,678,1.4618587788188675,1990.0
186,252,1.456604521258075,1990.0
186,96,1.4067902124052454,1990.0
186,284,1.3925677688597777,1990.0
186,64,1.3734101802713685,1990.0
186,218,1.3583665503639786,1990.0
186,323,1.3286628058563987,1990.0
22,82,3.1492649001235136,1990.0
22,273,2.6136881655747417,1990.0
22,177,2.5465432724273915,1960.0
22,183,2.536502456547188,1970.0
22,22,2.429303288046854,1990.0
22,239,2.3843526296690363,1990.0
22,746,2.202107198682254,1980.0
22,232,2.170010371332396,1980.0
22,72,2.0664600988324486,1990.0
22,56,2.0073289114216823,1990.0
22,70,1.9227736521665713,1990.0
22,576,1.88085666564082,1990.0
22,188,1.8723667612853887,1980.0
22,182,1.854696891619036,1990.0
22,88,1.8408351056122179,1990.0
22,679,1.8112227250569182,1980.0
22,257,1.802650659414841,1990.0
22,578,1.7383684501127015,1990.0
22,8,1.6753099851762268,1990.0
22,55,1.6518074675303909,1990.0
22,33,1.6141410915970493,1990.0
22,73,1.5803805475477117,1990.0
22,83,1.5548216713301188,1990.0
22,67,1.5422512483326376,1990.0
22,205,1.4914176596872692,1970.0
244,175,2.5862986171644784,1980.0
244,402,2.5701703175085404,1990.0
244,431,2.5052588576513557,1980.0
244,582,2.4886921835405653,1990.0
244,83,2.4568226736423586,1990.0
244,228,2.436396073869277,1980.0
244,476,2.436330299259329,1990.0
244,421,2.4100403078937056,1990.0
244,423,2.3456700198328453,1980.0
244,288,2.341310482332049,1990.0
244,210,2.3307159691597072,1980.0
244,727,2.303133446880397,1990.0
244,8,2.256460026627655,1990.0
244,202,2.2095942699626807,1990.0
244,25,2.1114025283138957,1990.0
244,125,2.1081502140062254,1990.0
244,699,2.1044294338034453,1990.0
244,15,2.048721093726874,1990.0
244,150,1.9581130501415531,1990.0
244,722,1.957130620225528,1990.0
244,427,1.9544711963284285,1960.0
244,1221,1.9243114796015377,1990.0
244,1014,1.9106830494597706,1990.0
244,273,1.8923394872627681,1990.0
244,4,1.882494750006915,1990.0
166,678,1.788778415552985,1990.0
166,333,1.7577732849266445,1990.0
166,326,1.6928131020306563,1990.0
166,245,1.5023373976593988,1990.0
166,307,1.4473506334505126,1990.0
166,271,1.4241553448430238,1990.0
166,272,1.4173713885308972,1990.0
166,879,1.0631880688104953,1990.0
166,750,1.0601388909230411,1990.0
166,332,1.0459513180947864,1990.0
166,310,0.9956757969700135,1990.0
166,690,0.9827940719667041,1990.0
166,259,0.9666246280638565,1990.0
166,895,0.9344646713046757,1990.0
166,682,0.91713074272873,1990.0
166,316,0.9013381569321083,1990.0
166,331,0.8688432954525859,1990.0
166,873,0.7650287191494043,1990.0
166,289,0.6918111610248431,1990.0
166,538,0.6769812049615341,1990.0
166,304,0.6703427785286105,1990.0
166,292,0.6593589919550005,1990.0
166,358,0.6415032249344856,1990.0
166,689,0.6078732106491374,1990.0
166,222,0.5887723173347913,1990.0
298,173,2.9298050999433443,1980.0
298,95,2.8066544297795883,1990.0
298,64,2.776129814309337,1990.0
298,654,2.5359209711841744,1970.0
298,191,2.524179452570206,1980.0
298,216,2.4373769633244393,1980.0
298,520,2.4294852934435864,1960.0
298,234,2.410215800305676,1970.0
298,480,2.2946067307197677,1950.0
298,238,2.2762565906768204,1980.0
298,117,2.2291548866069886,1990.0
298,969,2.16525906076776,1960.0
298,82,2.110662433649036,1990.0
298,405,2.084827476459781,1990.0
298,404,1.9301571593099789,1940.0
298,501,1.9153737317772954,1940.0
298,663,1.8904753814994477,1970.0
298,283,1.8599719876341216,1990.0
298,655,1.857785426880271,1980.0
298,521,1.8565424058067086,1970.0
298,136,1.8506826374645593,1930.0
298,15,1.7977383407647223,1990.0
298,443,1.7947574923710312,1960.0
298,298,1.7658910289797425,1990.0
298,510,1.7607518398933477,1950.0
