user_id,num_ratings
1,272
8,59
11,181
13,636
19,20
21,179
22,128
24,68
29,34
30,43
37,57
38,121
43,221
49,215
52,56
53,28
55,21
56,187
57,106
58,154
62,232
65,80
69,65
76,82
83,155
87,211
89,76
92,388
94,400
102,216
103,29
106,64
109,234
115,92
116,143
117,86
119,181
121,74
127,23
130,353
135,55
136,35
137,47
142,33
144,206
145,316
152,106
153,23
158,173
160,120
162,42
163,23
165,30
174,177
177,115
178,273
180,63
182,28
183,53
185,48
193,121
195,96
196,39
197,118
200,216
201,386
207,230
216,131
217,76
219,28
221,146
222,387
226,50
228,21
243,81
244,238
245,22
246,195
249,161
250,122
251,77
255,83
256,207
259,46
262,160
267,185
268,328
270,138
274,71
276,518
278,23
279,434
280,258
283,53
285,32
286,288
291,296
296,147
297,192
301,275
303,484
314,245
320,154
323,89
327,284
328,283
329,65
331,70
332,183
334,333
336,130
337,34
342,201
343,237
344,190
345,232
346,193
347,199
352,42
363,311
367,58
368,45
369,22
372,66
374,274
375,28
376,30
377,33
378,375
382,53
393,448
394,149
395,57
399,319
402,68
405,737
411,58
416,493
417,365
420,36
422,97
424,44
425,204
430,65
433,41
435,379
436,145
442,143
445,135
447,139
453,156
455,189
457,277
458,183
459,118
464,53
466,101
468,143
472,263
476,83
478,113
484,139
487,231
491,33
493,135
497,279
500,225
512,21
513,22
521,150
523,100
532,274
533,260
541,133
542,135
543,197
546,59
548,155
551,334
554,114
555,52
557,53
560,101
563,30
565,35
576,36
577,188
579,74
584,24
585,80
586,166
588,225
591,84
592,360
593,156
594,25
600,89
603,47
605,90
606,236
612,27
619,89
620,110
621,171
627,181
629,121
633,58
640,109
642,318
647,58
654,147
655,685
658,71
663,158
665,142
671,124
676,77
680,38
682,399
683,75
684,86
690,115
692,40
696,29
700,21
702,31
705,114
709,138
711,221
715,167
719,67
721,168
723,22
727,322
741,104
746,67
757,166
758,357
760,41
764,109
765,23
771,70
773,161
790,231
794,39
795,159
798,239
805,273
821,62
822,25
826,115
829,64
831,73
838,93
844,81
854,217
855,23
860,71
864,294
865,66
871,115
874,34
877,81
880,368
883,268
884,43
886,240
887,171
888,20
889,326
896,362
901,124
902,49
903,136
907,147
909,26
910,60
914,23
916,317
921,110
922,127
925,32
927,120
930,63
933,184
940,107
943,168
