user_id,item_id,rating,decade
196,242,3,1990.0
186,302,3,1990.0
22,377,1,1990.0
244,51,2,1990.0
166,346,1,1990.0
298,474,4,1960.0
115,265,2,1990.0
253,465,5,1990.0
305,451,3,1970.0
6,86,3,1990.0
62,257,2,1990.0
286,1014,5,1990.0
200,222,5,1990.0
210,40,3,1990.0
224,29,3,1990.0
303,785,3,1990.0
122,387,5,1990.0
194,274,2,1990.0
291,1042,4,1990.0
234,1184,2,1990.0
119,392,4,1990.0
167,486,4,1950.0
299,144,4,1980.0
291,118,2,1990.0
308,1,4,1990.0
95,546,2,1990.0
38,95,5,1990.0
102,768,2,1990.0
63,277,4,1990.0
160,234,5,1970.0
50,246,3,1990.0
301,98,4,1990.0
225,193,4,1980.0
290,88,4,1990.0
97,194,3,1970.0
157,274,4,1990.0
181,1081,1,1990.0
278,603,5,1950.0
276,796,1,1990.0
7,32,4,1990.0
10,16,4,1990.0
284,304,4,1990.0
201,979,2,1990.0
276,564,3,1990.0
287,327,5,1990.0
246,201,5,1980.0
242,1137,5,1990.0
249,241,5,1990.0
99,4,5,1990.0
178,332,3,1990.0
251,100,4,1990.0
81,432,2,1940.0
260,322,4,1990.0
25,181,5,1990.0
59,196,5,1980.0
72,679,2,1980.0
87,384,4,1990.0
290,143,5,1960.0
42,423,5,1980.0
292,515,4,1990.0
115,20,3,1990.0
20,288,1,1990.0
201,219,4,1980.0
13,526,3,1950.0
246,919,4,1990.0
138,26,5,1990.0
167,232,1,1980.0
60,427,5,1960.0
57,304,5,1990.0
223,274,4,1990.0
189,512,4,1980.0
243,15,3,1990.0
92,1049,1,1990.0
246,416,3,1950.0
194,165,4,1980.0
241,690,2,1990.0
178,248,4,1990.0
254,1444,3,1960.0
293,5,3,1990.0
127,229,5,1980.0
225,237,5,1990.0
299,229,3,1980.0
225,480,5,1950.0
276,54,3,1990.0
291,144,5,1980.0
222,366,4,1990.0
267,518,5,1990.0
42,403,3,1980.0
11,111,4,1990.0
95,625,4,1960.0
8,338,4,1990.0
162,25,4,1990.0
87,1016,4,1990.0
279,154,5,1970.0
145,275,2,1990.0
119,1153,5,1990.0
62,498,4,1950.0
62,382,3,1990.0
28,209,4,1980.0
135,23,4,1990.0
32,294,3,1990.0
90,382,5,1990.0
286,208,4,1970.0
293,685,3,1990.0
216,144,4,1980.0
166,328,5,1990.0
250,496,4,1940.0
271,132,5,1930.0
160,174,5,1980.0
265,118,4,1990.0
198,498,3,1950.0
42,96,5,1990.0
168,151,5,1970.0
110,307,4,1990.0
58,144,4,1980.0
90,648,4,1950.0
271,346,4,1990.0
62,21,3,1990.0
279,832,3,1990.0
237,514,4,1970.0
94,789,4,1990.0
128,485,3,1960.0
298,317,4,1990.0
44,195,5,1980.0
264,200,5,1980.0
194,385,2,1990.0
72,195,5,1980.0
222,750,5,1990.0
250,264,3,1990.0
41,265,3,1990.0
224,245,3,1990.0
82,135,3,1960.0
262,1147,4,1990.0
293,471,3,1990.0
216,658,3,1990.0
250,140,3,1990.0
59,23,5,1990.0
286,379,5,1990.0
244,815,4,1990.0
7,479,4,1950.0
174,368,1,1990.0
87,274,4,1990.0
194,1211,2,1990.0
82,1134,2,1990.0
13,836,2,1930.0
13,272,4,1990.0
244,756,2,1990.0
305,427,5,1960.0
95,787,2,1990.0
43,14,2,1990.0
299,955,4,1990.0
57,419,3,1960.0
84,405,3,1990.0
269,504,4,1960.0
299,111,3,1990.0
194,466,4,1990.0
160,135,4,1960.0
99,268,3,1990.0
10,486,4,1950.0
259,117,4,1990.0
85,427,3,1960.0
303,919,4,1990.0
213,273,5,1990.0
121,514,3,1970.0
90,98,5,1990.0
49,559,2,1990.0
42,794,3,1990.0
155,323,2,1990.0
68,117,4,1990.0
172,177,4,1960.0
19,4,4,1990.0
268,231,4,1990.0
5,2,3,1990.0
305,117,2,1990.0
44,294,4,1990.0
43,137,4,1990.0
279,1336,1,1990.0
80,466,5,1990.0
254,164,4,1980.0
