user_id,item_id,rating,decade,genre
196,242,3.0,1990.0,Comedy
186,302,3.0,1990.0,"Crime, Film-Noir, Mystery, Thriller"
22,377,1.0,1990.0,"Children, Comedy"
244,51,2.0,1990.0,"Drama, Romance, War, Western"
166,346,1.0,1990.0,"Crime, Drama"
298,474,4.0,1960.0,"Sci-Fi, War"
115,265,2.0,1990.0,"Action, Thriller"
253,465,5.0,1990.0,"Adventure, Children, Romance"
305,451,3.0,1970.0,"Comedy, Musical, Romance"
6,86,3.0,1990.0,Drama
62,257,2.0,1990.0,"Action, Adventure, Comedy, Sci-Fi"
286,1014,5.0,1990.0,Comedy
200,222,5.0,1990.0,"Action, Adventure, Sci-Fi"
210,40,3.0,1990.0,Comedy
224,29,3.0,1990.0,"Action, Adventure, Comedy, Crime"
303,785,3.0,1990.0,"Comedy, Romance"
122,387,5.0,1990.0,Drama
194,274,2.0,1990.0,"Comedy, Romance"
291,1042,4.0,1990.0,"Mystery, Thriller"
234,1184,2.0,1990.0,Documentary
119,392,4.0,1990.0,Drama
167,486,4.0,1950.0,"Comedy, Romance"
299,144,4.0,1980.0,"Action, Thriller"
291,118,2.0,1990.0,"Action, Adventure, Thriller"
308,1,4.0,1990.0,"Animation, Children, Comedy"
95,546,2.0,1990.0,"Action, Thriller"
38,95,5.0,1990.0,"Animation, Children, Comedy, Musical"
102,768,2.0,1990.0,"Adventure, Children"
63,277,4.0,1990.0,Drama
160,234,5.0,1970.0,"Action, Horror"
50,246,3.0,1990.0,"Drama, Romance"
301,98,4.0,1990.0,"Drama, Thriller"
225,193,4.0,1980.0,Drama
290,88,4.0,1990.0,"Comedy, Romance"
97,194,3.0,1970.0,"Comedy, Crime"
157,274,4.0,1990.0,"Comedy, Romance"
181,1081,1.0,1990.0,Crime
278,603,5.0,1950.0,"Mystery, Thriller"
276,796,1.0,1990.0,"Comedy, Romance"
7,32,4.0,1990.0,Documentary
10,16,4.0,1990.0,"Comedy, Romance"
284,304,4.0,1990.0,"Adventure, Children"
201,979,2.0,1990.0,"Drama, Thriller"
276,564,3.0,1990.0,"Comedy, Horror"
287,327,5.0,1990.0,"Crime, Drama, Mystery"
246,201,5.0,1980.0,"Action, Adventure, Comedy, Horror"
242,1137,5.0,1990.0,"Drama, Romance"
249,241,5.0,1990.0,"Action, Romance, War"
99,4,5.0,1990.0,"Action, Comedy, Drama"
178,332,3.0,1990.0,"Crime, Drama, Thriller"
251,100,4.0,1990.0,"Crime, Drama, Thriller"
81,432,2.0,1940.0,"Animation, Children, Musical"
260,322,4.0,1990.0,"Mystery, Thriller"
25,181,5.0,1990.0,"Action, Adventure, Romance, Sci-Fi, War"
59,196,5.0,1980.0,Drama
72,679,2.0,1980.0,"Action, Adventure"
87,384,4.0,1990.0,Comedy
290,143,5.0,1960.0,Musical
42,423,5.0,1980.0,"Children, Drama, Fantasy, Sci-Fi"
292,515,4.0,1990.0,"Action, Drama, War"
115,20,3.0,1990.0,"Drama, Romance"
20,288,1.0,1990.0,"Horror, Thriller"
201,219,4.0,1980.0,Horror
13,526,3.0,1950.0,"Action, Adventure, Drama"
246,919,4.0,1990.0,"Adventure, Sci-Fi"
138,26,5.0,1990.0,Comedy
167,232,1.0,1980.0,"Action, Comedy, Western"
60,427,5.0,1960.0,Drama
57,304,5.0,1990.0,"Adventure, Children"
223,274,4.0,1990.0,"Comedy, Romance"
189,512,4.0,1980.0,"Comedy, Drama, Romance"
243,15,3.0,1990.0,Drama
92,1049,1.0,1990.0,Comedy
246,416,3.0,1950.0,"Children, Drama"
194,165,4.0,1980.0,Drama
241,690,2.0,1990.0,"Drama, War"
178,248,4.0,1990.0,"Comedy, Crime"
254,1444,3.0,1960.0,"Children, Comedy, Mystery"
293,5,3.0,1990.0,"Crime, Drama, Thriller"
127,229,5.0,1980.0,"Action, Adventure, Sci-Fi"
225,237,5.0,1990.0,"Drama, Romance"
299,229,3.0,1980.0,"Action, Adventure, Sci-Fi"
225,480,5.0,1950.0,"Comedy, Thriller"
276,54,3.0,1990.0,"Action, Drama, Thriller"
