user_id,entropy_kmeans,cluster_kmeans,entropy_quantile,cluster_quantile,diff
257,0.3027344232643354,0,0.3027344232643354,1,True
789,0.3046360973492381,0,0.3046360973492381,1,True
150,0.3111291548118492,0,0.3111291548118492,1,True
628,0.3153962874226617,0,0.3153962874226617,1,True
75,0.3202439124894461,0,0.3202439124894461,1,True
81,0.3226596851052002,0,0.3226596851052002,1,True
895,0.3250829733914482,0,0.3250829733914482,1,True
475,0.3250829733914482,0,0.3250829733914482,1,True
828,0.3277756761002128,0,0.3277756761002128,1,True
879,0.3325942143118925,0,0.3325942143118925,1,True
768,0.3484058012277691,0,0.3484058012277691,1,True
46,0.3488320958430319,0,0.3488320958430319,1,True
68,0.3545988275526489,0,0.3545988275526489,1,True
461,0.3557128597468939,0,0.3557128597468939,1,True
509,0.3625010217396757,0,0.3625010217396757,1,True
549,0.3669249912727096,0,0.3669249912727096,1,True
894,0.3720783600544464,0,0.3720783600544464,1,True
99,0.3904395031968936,0,0.3904395031968936,1,True
893,0.3935214570606022,0,0.3935214570606022,1,True
675,0.3953721911149986,0,0.3953721911149986,1,True
110,0.3956491027490423,0,0.3956491027490423,1,True
699,0.4070332397460261,0,0.4070332397460261,1,True
449,0.4100556878380497,0,0.4100556878380497,1,True
231,0.410116318288409,0,0.410116318288409,1,True
761,0.4106286283761022,0,0.4106286283761022,1,True
84,0.4157588728961734,0,0.4157588728961734,1,True
779,0.417476338302775,0,0.417476338302775,1,True
861,0.4176314758311851,0,0.4176314758311851,1,True
204,0.4245948513234667,0,0.4245948513234667,1,True
852,0.4265104867145486,0,0.4265104867145486,1,True
287,0.4296450382988046,0,0.4296450382988046,1,True
919,0.4380699684307458,0,0.4380699684307458,1,True
904,0.4399782222652544,0,0.4399782222652544,1,True
851,0.4459677060150023,0,0.4459677060150023,1,True
224,0.4529746202472434,0,0.4529746202472434,1,True
517,0.4549437534681774,0,0.4549437534681774,1,True
4,0.4563344322932884,0,0.4563344322932884,1,True
630,0.4627871274567967,0,0.4627871274567967,1,True
38,1.094762229181099,1,1.094762229181099,2,True
940,1.0962171551593636,1,1.0962171551593636,2,True
411,1.0969426612236854,1,1.0969426612236854,2,True
334,1.101401975206818,1,1.101401975206818,2,True
542,1.1036338648736217,1,1.1036338648736217,2,True
541,1.10394500052148,1,1.10394500052148,2,True
160,1.1061576386859502,1,1.1061576386859502,2,True
13,1.108115933618055,1,1.108115933618055,2,True
382,1.1107875646833143,1,1.1107875646833143,2,True
746,1.1145068430077514,1,1.1145068430077514,2,True
855,1.1157371667598153,1,1.1157371667598153,2,True
